Geography,Baker,Benton,Clackamas,Clatsop,Columbia,Coos,Crook,Curry,Deschutes,Douglas,Gilliam,Grant,Harney,Hood River,Jackson,Jefferson,Josephine,Klamath,Lake,Lane,Lincoln,Linn,Malheur,Marion,Morrow,Multnomah,Polk,Sherman,Tillamook,Umatilla,Union,Wallowa,Wasco,Washington,Wheeler,Yamhill
total,15172,84541,378115,35948,47601,59810,20732,21518,166081,102020,1805,6882,6805,21420,200037,21252,80435,61959,7390,345275,44990,113646,28297,307963,10333,742626,75055,1578,24567,71392,24318,6557,24042,535299,1359,96453
englishOnly,14566,72748,332299,32873,45705,56747,19365,20466,155403,98160,1686,6558,6378,15320,181011,17716,76352,56802,7064,315612,41488,105243,21286,230595,7112,593851,64301,1534,22615,55210,23069,6327,20436,405133,1322,82592
spanish,360,4912,22019,2151,1131,1882,976,540,7520,2314,104,203,243,5660,15244,2997,2882,4126,223,17211,2772,6380,6566,62669,3136,61178,8123,41,1699,15353,700,111,3127,66816,27,11636
spanWell,199,3810,13998,1401,659,1236,763,359,5012,1506,72,141,159,2438,9622,1987,2004,2448,114,11856,1840,4480,4360,34688,1527,37628,5218,28,1008,8006,417,67,1763,39727,27,6880
spanLess,161,1102,8021,750,472,646,213,181,2508,808,32,62,84,3222,5622,1010,878,1678,109,5355,932,1900,2206,27981,1609,23550,2905,13,691,7347,283,44,1364,27089,0,4756
french,31,269,1244,219,70,64,13,52,241,100,0,25,5,107,398,16,236,152,0,945,52,163,3,517,2,4080,98,0,12,42,32,32,21,1758,0,202
frenWell,31,252,998,219,70,13,13,52,184,77,0,24,0,107,309,16,228,130,0,869,48,163,3,392,0,3481,95,0,11,42,21,32,21,1449,0,195
frenLess,0,17,246,0,0,51,0,0,57,23,0,1,5,0,89,0,8,22,0,76,4,0,0,125,2,599,3,0,1,0,11,0,0,309,0,7
german,81,529,1836,174,87,382,119,122,777,390,0,12,12,28,788,26,313,180,8,1610,102,323,72,1016,25,4407,282,0,27,84,100,19,36,2911,5,614
germWell,79,495,1640,160,87,358,119,120,686,355,0,10,12,28,679,26,243,180,8,1486,93,308,67,914,13,4144,258,0,27,80,100,19,20,2662,5,559
germLess,2,34,196,14,0,24,0,2,91,35,0,2,0,0,109,0,70,0,0,124,9,15,5,102,12,263,24,0,0,4,0,0,16,249,0,55
russian,25,258,5499,56,31,69,85,78,121,95,0,14,0,116,222,9,23,56,13,598,26,293,17,4934,0,16142,185,0,2,64,20,15,62,3772,0,207
russWell,25,249,3627,43,31,61,85,48,74,62,0,12,0,29,192,9,23,42,8,460,26,245,17,3235,0,8529,114,0,2,59,10,15,12,2294,0,186
russLess,0,9,1872,13,0,8,0,30,47,33,0,2,0,87,30,0,0,14,5,138,0,48,0,1699,0,7613,71,0,0,5,10,0,50,1478,0,21
indoEuro,23,866,3769,85,95,109,22,175,581,169,4,33,50,14,647,16,206,91,20,1708,61,166,20,1360,8,9945,360,0,106,102,71,29,41,13906,0,232
indoWell,13,623,2896,85,73,93,22,114,511,98,4,23,23,14,536,10,184,50,20,1440,54,135,12,1029,5,6502,284,0,106,87,43,29,17,10290,0,218
indoLess,10,243,873,0,22,16,0,61,70,71,0,10,27,0,111,6,22,41,0,268,7,31,8,331,3,3443,76,0,0,15,28,0,24,3616,0,14
korean,15,580,866,10,4,71,0,0,231,130,0,0,0,59,226,20,0,25,0,995,55,66,0,209,0,1573,124,0,0,0,0,0,4,4496,0,138
koreWell,11,182,437,10,0,35,0,0,101,123,0,0,0,6,145,20,0,0,0,531,17,58,0,88,0,805,105,0,0,0,0,0,0,2437,0,89
koreLess,4,398,429,0,4,36,0,0,130,7,0,0,0,53,81,0,0,25,0,464,38,8,0,121,0,768,19,0,0,0,0,0,4,2059,0,49
chinese,5,2126,3588,58,126,133,1,61,202,141,5,19,0,63,344,45,33,114,11,2741,100,152,147,935,0,10265,492,0,30,4,26,0,6,7336,1,371
chinWell,5,964,2041,26,51,102,1,27,35,44,5,19,0,63,195,2,0,34,7,1080,5,36,103,253,0,4365,254,0,28,2,13,0,6,4299,0,233
chinLess,0,1162,1547,32,75,31,0,34,167,97,0,0,0,0,149,43,33,80,4,1661,95,116,44,682,0,5900,238,0,2,2,13,0,0,3037,1,138
vietnamese,34,273,1728,21,30,77,17,0,113,161,0,0,0,24,201,9,19,10,0,488,20,74,4,1130,0,14332,20,0,0,65,5,3,0,6070,0,38
vietWell,25,233,829,0,13,36,17,0,0,109,0,0,0,0,5,9,0,6,0,301,15,57,4,427,0,5044,20,0,0,19,0,2,0,2462,0,25
vietLess,9,40,899,21,17,41,0,0,113,52,0,0,0,24,196,0,19,4,0,187,5,17,0,703,0,9288,0,0,0,46,5,1,0,3608,0,13
tagolog,4,120,1003,35,89,63,11,6,161,72,0,3,0,20,259,38,131,148,9,453,52,161,20,737,13,2680,120,0,0,120,34,6,29,3783,4,168
tagoWell,0,95,756,29,46,40,0,6,107,44,0,3,0,20,146,34,120,87,0,362,28,43,20,465,13,1943,117,0,0,63,13,0,22,2638,4,135
