ProjectNumber,BudgetYear,CostType,CostAmount
664,2002,Labor,1583.64
664,2002,Material,2759240.39
664,2003,Material,203088.29
664,2004,Material,203088.29
664,2005,Material,203088.29
664,2006,Material,201732.55
664,2007,Material,178227.71
1004,2004,Labor,24179.38
1004,2004,Material,1047593.63
1004,2005,Material,-7666.65
1005,2005,Labor,85599.02
1005,2005,Material,1099417.77
1005,2006,Labor,0
1005,2006,Material,-300.33
1006,2006,Labor,47580.66
1006,2006,Material,1741370.48
1006,2007,Labor,0
1007,2007,Labor,32958.68
1007,2007,Material,1046467.77
1007,2008,Material,0
1008,2008,Labor,121238.17
1008,2008,Material,1037957.71
1008,2009,Material,5754.68
1009,2009,Material,433603.57
1009,2010,Material,0
1586,2002,Material,680087.15
1586,2003,Material,47955
1586,2004,Material,47955
1907,2002,Material,27017.67
1907,2003,Material,5000
2010,2010,Material,322124.24
2010,2011,Material,53801.11
2011,2011,Material,307224.03
2012,2012,Material,207617.39
2013,2013,Material,254912.96
2014,2014,Material,229482.54
2014,2015,Material,0
2015,2015,Material,280063.04
2016,2016,Material,329178.65
2017,2017,Material,324854.73
2018,2018,Material,422729.26
2019,2019,Material,197245.93
4084,2002,Labor,4300.71
4084,2002,Material,414171.57
4084,2003,Labor,25100.98
4084,2003,Material,756647.87
4084,2004,Labor,7994.69
4084,2004,Material,16882.11
4084,2005,Labor,1661.48
4084,2005,Material,4340
4123,2003,Material,5000
4125,2002,Material,1866193.92
4136,2002,Material,2186690.84
4136,2003,Material,27127.26
4136,2004,Material,10990
4136,2005,Material,7035
4140,2002,Labor,7019.07
4140,2002,Material,1897864
4140,2003,Labor,22252.62
4140,2003,Material,6621114.5
4140,2004,Labor,87771.37
4140,2004,Material,5360660.98
4140,2005,Labor,9771.43
4140,2005,Material,541173.05
4140,2006,Labor,1209.73
4140,2006,Material,3097.66
4141,2002,Material,282396.75
4215,2002,Material,281617.51
4215,2003,Material,20000
4222,2002,Material,130533.01
4222,2003,Material,-130533.01
4230,2002,Material,75554.97
4387,2002,Material,1395500.8
4421,2002,Labor,4365.19
4421,2002,Material,118410.13
4421,2003,Labor,23294.38
4421,2003,Material,47807.83
4421,2004,Labor,76520.78
4421,2004,Material,32847.41
4421,2005,Labor,48515.86
4421,2005,Material,43905.39
4421,2006,Labor,26761.83
4421,2006,Material,26740.04
4421,2007,Labor,3754.74
4421,2007,Material,2241.47
4421,2008,Labor,2794.34
4421,2008,Material,7860
4421,2009,Labor,4827.27
4421,2009,Material,8279.88
4421,2010,Labor,939.95
4421,2011,Material,2785.26
4421,2012,Material,250
4421,2013,Material,824.9
4421,2016,Labor,912.92
4421,2016,Material,434.71
4421,2017,Labor,81.66
4421,2018,Labor,86.55
4427,2006,Labor,201.22
4427,2006,Material,17743
4464,2002,Material,1812713.81
4464,2003,Labor,49.72
4464,2003,Material,309051.03
4464,2004,Material,326500.71
4464,2005,Material,58937
4539,2002,Material,4079.52
4540,2002,Material,239523.43
4540,2004,Labor,1693.81
4670,2002,Material,18404.58
4723,2003,Labor,484
4723,2004,Labor,187.29
4726,2002,Labor,1039.25
4746,2002,Labor,894.34
4746,2002,Material,224221.13
4765,2002,Material,28749.02
4765,2005,Labor,404.13
4779,2002,Material,9100.53
4781,2002,Labor,6929.26
4781,2002,Material,708197.47
4781,2003,Labor,733.64
4781,2003,Material,-733.64
4785,2003,Labor,2240.71
4785,2003,Material,32218.23
4785,2004,Material,9370.83
4792,2002,Labor,509.66
4792,2002,Material,362765.19
4792,2003,Labor,271.9
4793,2002,Labor,106360.93
4793,2002,Material,33461595.5
4793,2003,Labor,182343.09
4793,2003,Material,2225704.32
4793,2004,Labor,174391.91
4793,2004,Material,669817.89
4793,2005,Labor,3586.04
4793,2005,Material,31565.78
4793,2006,Labor,0
4794,2001,Material,1414.75
4794,2002,Labor,119181.55
4794,2002,Material,61405797.99
4794,2003,Labor,266623.74
4794,2003,Material,5334887.1
4794,2004,Labor,134824.44
4794,2004,Material,662589.59
4794,2005,Labor,2106.05
4794,2005,Material,809.87
4796,2002,Material,-1579
4809,2002,Labor,381.44
