ProjectId,ProjectName,PlantingYear,MaterialType,Units,LatinName,SpeciesCategory,SpeciesType,WetlandIndicatorCode,StockType
1080,Fanno Creek - Greenway Park,2017,Acer circinatum (Vine Maple) - Container,10,Acer circinatum,Native Woody,Tree,FAC,Container
1080,Fanno Creek - Greenway Park,2017,Acer macrophyllum (Bigleaf maple) - Container,10,Acer macrophyllum,Native Woody,Tree,FACU,Container
1080,Fanno Creek - Greenway Park,2017,Amelanchier alnifolia (Serviceberry) - Container,50,Amelanchier alnifolia,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2017,Amelanchier alnifolia (Serviceberry) - Container,30,Amelanchier alnifolia,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2017,Holodiscus discolor (Oceanspray) - Container,50,Holodiscus discolor,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2017,Holodiscus discolor (Oceanspray) - Container,40,Holodiscus discolor,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2018,Lonicera involucrata (Black Twinberry) - Container,230,Lonicera involucrata,Native Woody,Shrub,FAC,Container
1080,Fanno Creek - Greenway Park,2017,Mahonia aquifolium (Tall Oregon grape) - Container,20,Mahonia aquifolium,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2018,Mahonia aquifolium (Tall Oregon grape) - Container,100,Mahonia aquifolium,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2017,Mahonia nervosa (Dull Oregon Grape) - Container,50,Mahonia nervosa,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2017,Mahonia nervosa (Dull Oregon Grape) - Container,10,Mahonia nervosa,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2017,Malus fusca (Western crabapple) - Container,10,Malus fusca,Native Woody,Tree,FACW,Container
1080,Fanno Creek - Greenway Park,2017,Philadelphus lewisii (Mock Orange) - Container,50,Philadelphus lewisii,Native Woody,Shrub,NI,Container
1080,Fanno Creek - Greenway Park,2017,Philadelphus lewisii (Mock Orange) - Container,40,Philadelphus lewisii,Native Woody,Shrub,NI,Container
1080,Fanno Creek - Greenway Park,2017,Physocarpus capitatus (Pacific Ninebark) - Container,50,Physocarpus capitatus,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2018,Physocarpus capitatus (Pacific Ninebark) - Container,290,Physocarpus capitatus,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2017,Alisma plantago aquatica (water plantain) - Plug,100,Alisma plantago-aquatica,Native Herbaceous,Forb,OBL,Plug
1080,Fanno Creek - Greenway Park,2017,Prunus virginiana (Chokecherry) - Container,10,Prunus virginiana,Native Woody,Tree,FACU,Container
1080,Fanno Creek - Greenway Park,2017,Quercus garryana (Oregon White Oak) - Container,50,Quercus garryana,Native Woody,Tree,FACU,Container
1080,Fanno Creek - Greenway Park,2017,Quercus garryana (Oregon White Oak) - Container,40,Quercus garryana,Native Woody,Tree,FACU,Container
1080,Fanno Creek - Greenway Park,2017,Rhamnus purshiana (Cascara) - Container,50,Rhamnus purshiana,Native Woody,Tree,NI,Container
1080,Fanno Creek - Greenway Park,2017,Rhamnus purshiana (Cascara) - Container,10,Rhamnus purshiana,Native Woody,Tree,NI,Container
1080,Fanno Creek - Greenway Park,2018,Rhamnus purshiana (Cascara) - Container,10,Rhamnus purshiana,Native Woody,Tree,NI,Container
1080,Fanno Creek - Greenway Park,2017,Ribes sanguineum (Red flowering currant) - Container,50,Ribes sanguineum,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2017,Ribes sanguineum (Red flowering currant) - Container,40,Ribes sanguineum,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2018,Ribes sanguineum (Red flowering currant) - Container,50,Ribes sanguineum,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2018,Rosa pisocarpa (Swamp rose) - Container,330,Rosa pisocarpa,Native Woody,Shrub,FAC,Container
1080,Fanno Creek - Greenway Park,2017,Rubus parviflorus (Thimbleberry) - Container,50,Rubus parviflorus,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2017,Rubus parviflorus (Thimbleberry) - Container,40,Rubus parviflorus,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2018,Spiraea douglasii (Douglas Spiraea) - Container,250,Spiraea douglasii,Native Woody,Shrub,FACW,Container
1080,Fanno Creek - Greenway Park,2017,Symphoricarpos albus (Common Snowberry) - Container,50,Symphoricarpos albus,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2017,Symphoricarpos albus (Common Snowberry) - Container,40,Symphoricarpos albus,Native Woody,Shrub,FACU,Container
1080,Fanno Creek - Greenway Park,2017,Thuja plicata (Western red cedar) - Container,50,Thuja plicata,Native Woody,Tree,FAC,Container
1080,Fanno Creek - Greenway Park,2017,Thuja plicata (Western red cedar) - Container,20,Thuja plicata,Native Woody,Tree,FAC,Container
1080,Fanno Creek - Greenway Park,2018,Thuja plicata (Western red cedar) - Container,100,Thuja plicata,Native Woody,Tree,FAC,Container
1080,Fanno Creek - Greenway Park,2017,Amelanchier alnifolia (Serviceberry) - Bare Root,50,Amelanchier alnifolia,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2018,Amelanchier alnifolia (Serviceberry) - Bare Root,50,Amelanchier alnifolia,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2017,Salix scouleriana (Scoulers Willow) - Bare Root,50,Salix scouleriana,Native Woody,Shrub,FAC,Bare Root
1080,Fanno Creek - Greenway Park,2017,Mahonia aquifolium (Tall Oregon grape) - Bare Root,50,Mahonia aquifolium,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2018,Physocarpus capitatus (Pacific Ninebark) - Bare Root,50,Physocarpus capitatus,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2017,Spiraea douglasii (Douglas Spiraea) - Bare Root,200,Spiraea douglasii,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2018,Spiraea douglasii (Douglas Spiraea) - Bare Root,100,Spiraea douglasii,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2017,Symphoricarpos albus (Common Snowberry) - Bare Root,50,Symphoricarpos albus,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2018,Symphoricarpos albus (Common Snowberry) - Bare Root,100,Symphoricarpos albus,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2018,Ribes sanguineum (Red flowering currant) - Bare Root,50,Ribes sanguineum,Native Woody,Shrub,FACU,Bare Root
1080,Fanno Creek - Greenway Park,2017,Sambucus racemosa (Red Elderberry) - Bare Root,50,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2017,Scirpus microcarpus (Small-fruited bullrush) - Plug,50,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Plug
1080,Fanno Creek - Greenway Park,2017,Sagittaria latifolia (wapato) - Bulb,450,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Bulb
1080,Fanno Creek - Greenway Park,2018,Sagittaria latifolia (wapato) - Bulb,100,Salix lucida ssp. lasiandra,Native Woody,Shrub,FACW,Bulb
1080,Fanno Creek - Greenway Park,2017,Salix geyeriana (Geyer Willow) - Bare Root,100,Salix geyeriana,Native Woody,Shrub,FACW,Bare Root
1080,Fanno Creek - Greenway Park,2017,Sambucus cerulea (Blue Elderberry) - Container,20,Sambucus nigra ssp. cerulea,Native Woody,Shrub,NI,Container
1080,Fanno Creek - Greenway Park,2017,Schoenoplectus tabernaemontani (Softstem Bulrush) - Plug,175,Schoenoplectus tabernaemontani,Native Herbaceous,Rush,OBL,Plug
1080,Fanno Creek - Greenway Park,2017,Schoenoplectus tabernaemontani (Softstem Bulrush) - Plug,125,Schoenoplectus tabernaemontani,Native Herbaceous,Rush,OBL,Plug
