ProjectId,ProjectName,PlantCommunity,Year,WoodyCoverPercent,HerbaceousCoverPercent,InvasiveCoverPercent,TreeDiversity,ShrubDiversity,HerbaceousDiversity,SiteAssessmentStemsPerAcre
1080,Fanno Creek - Greenway Park,Emergent Marsh,2010,37.50,13.00,10.00,0,3,2,900
1080,Fanno Creek - Greenway Park,Emergent Marsh,2012,47.00,7.00,3.00,1,3,0,1800
1080,Fanno Creek - Greenway Park,Emergent Marsh,2014,74.50,8.00,5.00,1,2,1,1450
1080,Fanno Creek - Greenway Park,Emergent Marsh,2016,78.00,28.00,0.00,4,2,2,2000
1080,Fanno Creek - Greenway Park,Emergent Marsh,2018,6.00,38.00,1.33,0,0,2,2800
1080,Fanno Creek - Greenway Park,Forested Wetland,2012,137.42,58.42,42.17,4,5,5,5450
1080,Fanno Creek - Greenway Park,Forested Wetland,2014,120.00,33.00,73.00,4,10,2,4900
1080,Fanno Creek - Greenway Park,Forested Wetland,2016,210.00,32.50,14.00,4,8,2,5550
1080,Fanno Creek - Greenway Park,Forested Wetland,2018,174.67,71.33,16.00,4,10,6,7200
1080,Fanno Creek - Greenway Park,Riparian Forest,2012,130.05,63.99,19.05,4,6,3,5721
1080,Fanno Creek - Greenway Park,Riparian Forest,2014,137.71,47.71,40.71,2,6,0,5557
1080,Fanno Creek - Greenway Park,Riparian Forest,2016,155.33,47.07,23.73,2,8,2,6227
1080,Fanno Creek - Greenway Park,Riparian Forest,2018,107.14,64.57,33.71,2,4,0,4700
1080,Fanno Creek - Greenway Park,Scrub-Shrub,2010,41.00,42.00,80.00,0,5,3,2067
1080,Fanno Creek - Greenway Park,Scrub-Shrub,2012,109.33,73.33,28.67,0,10,6,5667
1080,Fanno Creek - Greenway Park,Scrub-Shrub,2014,197.67,16.00,3.33,5,7,2,7900
1080,Fanno Creek - Greenway Park,Scrub-Shrub,2016,44.00,34.00,30.00,0,4,4,2200
1080,Fanno Creek - Greenway Park,Scrub-Shrub,2018,196.00,16.67,8.00,2,8,0,10333
123,Fanno Creek - Englewood,Emergent Marsh,2010,81.00,5.00,45.00,1,2,1,2000
123,Fanno Creek - Englewood,Emergent Marsh,2012,75.00,5.00,11.50,0,4,0,1500
123,Fanno Creek - Englewood,Emergent Marsh,2014,6.50,3.50,67.50,0,0,0,300
123,Fanno Creek - Englewood,Emergent Marsh,2016,11.00,57.00,0.00,0,0,2,600
123,Fanno Creek - Englewood,Emergent Marsh,2018,37.33,54.50,52.33,0,3,5,2933
123,Fanno Creek - Englewood,Forested Wetland,2010,144.82,50.56,69.08,2,8,4,3457
123,Fanno Creek - Englewood,Forested Wetland,2012,119.83,49.17,47.05,4,5,3,2934
123,Fanno Creek - Englewood,Forested Wetland,2014,150.00,56.06,24.25,2,8,4,3358
123,Fanno Creek - Englewood,Forested Wetland,2016,164.29,26.00,57.57,2,8,2,6000
123,Fanno Creek - Englewood,Forested Wetland,2018,137.94,36.61,70.73,2,6,2,3111
123,Fanno Creek - Englewood,Wet Prairie,2012,1.67,62.67,12.33,0,0,3,300
123,Fanno Creek - Englewood,Wet Prairie,2014,7.33,55.33,3.00,0,0,5,1767
141,Fanno Creek - Hall Blvd to Ash Ave,Forested Wetland,2010,112.50,103.25,28.33,1,10,6,3075
141,Fanno Creek - Hall Blvd to Ash Ave,Forested Wetland,2012,164.00,47.33,92.00,6,4,6,4733
141,Fanno Creek - Hall Blvd to Ash Ave,Forested Wetland,2014,199.33,41.33,70.67,4,10,6,9733
141,Fanno Creek - Hall Blvd to Ash Ave,Forested Wetland,2016,199.60,40.00,147.20,4,8,2,5800
141,Fanno Creek - Hall Blvd to Ash Ave,Forested Wetland,2018,231.10,2.17,48.40,4,6,0,6730
141,Fanno Creek - Hall Blvd to Ash Ave,Riparian Forest,2010,202.28,20.00,81.78,8,7,1,4511
141,Fanno Creek - Hall Blvd to Ash Ave,Riparian Forest,2012,191.33,18.00,37.00,4,6,0,6300
141,Fanno Creek - Hall Blvd to Ash Ave,Riparian Forest,2014,225.80,10.80,59.00,6,12,0,8040
141,Fanno Creek - Hall Blvd to Ash Ave,Riparian Forest,2016,274.13,15.20,39.20,10,10,0,8547
141,Fanno Creek - Hall Blvd to Ash Ave,Riparian Forest,2018,268.72,25.27,43.82,10,8,0,6455
