t,tss,tp
1/31/2004,18.2,0.101
2/29/2004,20,0.1115
3/31/2004,11.95,0.0865
4/30/2004,17.8,0.1225
5/31/2004,9.1,0.14025
6/30/2004,15.36,0.1596
7/31/2004,4.9,0.17075
8/31/2004,8.08,0.1778
9/30/2004,9,0.15675
10/31/2004,12.9,0.149
11/30/2004,94.4,0.276333333
12/31/2004,9.8,0.1
1/31/2005,7,0.109
2/28/2005,7.8,0.0925
3/31/2005,36.8,0.146
4/30/2005,12.2,0.092
5/31/2005,41.9,0.18275
6/30/2005,19.1,0.15925
7/31/2005,6.3,0.1595
8/31/2005,5.04,0.155
9/30/2005,4.9,0.13925
10/31/2005,6.6,0.1325
11/30/2005,79.4,0.217
12/31/2005,26.6,0.116
1/31/2006,35.8,0.1485
2/28/2006,11.8,0.093
3/31/2006,10.6,0.0955
4/30/2006,8.2,0.0925
5/31/2006,20.08,0.1646
6/30/2006,7,0.1535
7/31/2006,6.8,0.1675
8/31/2006,5.6,0.1474
9/30/2006,17.25,0.1595
10/31/2006,16.3,0.164
11/30/2006,13.86666667,0.153666667
12/31/2006,7.6,0.0785
1/31/2007,13.6,0.092
2/28/2007,106.3,0.2665
3/31/2007,20.4,0.116
4/30/2007,7,0.0815
5/31/2007,5.6,0.1166
6/30/2007,4.3,0.146
7/31/2007,6.6,0.1565
8/31/2007,6,0.1484
9/30/2007,5.275,0.14125
10/31/2007,8.64,0.1254
11/30/2007,8.533333333,0.126
12/31/2007,17.5,0.12
1/31/2008,24.2,0.109
2/29/2008,8.6,0.0825
3/31/2008,48.8,0.1485
4/30/2008,10.4,0.0775
5/31/2008,17.5,0.1445
6/30/2008,57.25,0.2195
7/31/2008,5.457142857,0.157857143
8/31/2008,8.971428571,0.137571429
9/30/2008,5.22,0.1506
10/31/2008,8.666666667,0.149
11/30/2008,46.83333333,0.208333333
12/31/2008,1.6,0.114
1/31/2009,11.45,0.094
2/28/2009,6.6,0.0865
3/31/2009,34.6,0.1405
4/30/2009,4.4,0.088
5/31/2009,38.275,0.2055
6/30/2009,3.22,0.1542
7/31/2009,4.625,0.16
8/31/2009,6.3,0.15425
9/30/2009,4.72,0.1274
10/31/2009,4.475,0.12875
11/30/2009,26.4,0.1695
12/31/2009,50,0.271
1/31/2010,14.2,0.1035
2/28/2010,8.6,0.0995
3/31/2010,6.9,0.0875
4/30/2010,8.4,0.089
5/31/2010,8.15,0.11875
6/30/2010,31.56,0.154
7/31/2010,5.225,0.123
8/31/2010,6.78,0.129
9/30/2010,35.46666667,0.214
10/31/2010,8.9,0.135
11/30/2010,23.75,0.1545
12/31/2010,30.8,0.17
1/31/2011,22.5,0.1275
2/28/2011,25.7,0.1395
3/31/2011,43.45,0.164
4/30/2011,9.8,0.0965
5/31/2011,6.2,0.0975
6/30/2011,28.7,0.178
7/31/2011,7.225,0.14125
8/31/2011,5.18,0.136
9/30/2011,6,0.1365
10/31/2011,15.825,0.1445
11/30/2011,82.33333333,0.226666667
12/31/2011,3.6,0.102
1/31/2012,22.35,0.11
2/29/2012,13.35,0.1015
3/31/2012,17.35,0.101
4/30/2012,79.8,0.253
5/31/2012,4.4,0.1135
6/30/2012,5.8,0.1325
7/31/2012,3.95,0.1325
8/31/2012,3.2,0.1305
9/30/2012,3.6,0.1125
10/31/2012,7.6,0.1255
11/30/2012,3.95,0.123
12/31/2012,17.4,0.132
1/31/2013,28.4,0.1145
2/28/2013,7,0.086
3/31/2013,23,0.103
4/30/2013,5.6,0.095
5/31/2013,48.45,0.184
6/30/2013,5.8,0.122
7/31/2013,2.8,0.1255
8/31/2013,5,0.126
9/30/2013,13.4,0.149
10/31/2013,11,0.1325
11/30/2013,39,0.1815
12/31/2013,4.4,0.101
1/31/2014,22.8,0.1325
2/28/2014,5.6,0.087
3/31/2014,44.3,0.1935
4/30/2014,4.6,0.0895
5/31/2014,5,0.1225
6/30/2014,7.6,0.1275
7/31/2014,44.2,0.2215
8/31/2014,4.6,0.1635
9/30/2014,44.2,0.2205
10/31/2014,40.6,0.1835
11/30/2014,4,0.12
12/31/2014,106.6,0.241
1/31/2015,5.2,0.098
2/28/2015,10,0.101
3/31/2015,7.8,0.103
4/30/2015,3.4,0.0975
5/31/2015,4.4,0.1195
6/30/2015,3.6,0.165
7/31/2015,2.8,0.1745
8/31/2015,5,0.137
9/30/2015,6.6,0.178
10/31/2015,11.6,0.182
11/30/2015,6.2,0.1465
12/31/2015,74.45,0.226
1/31/2016,5.2,0.0845
2/29/2016,7.4,0.0995
3/31/2016,18.4,0.1205
4/30/2016,3.4,0.107
5/31/2016,5,0.143
6/30/2016,3.6,0.146
7/31/2016,2.4,0.151
8/31/2016,3.2,0.148
9/30/2016,6.4,0.1385
10/31/2016,19.2,0.1425
11/30/2016,8.8,0.1215
2/28/2017,47.1,0.158
3/31/2017,18.4,0.118
4/30/2017,8.8,0.1
5/31/2017,3.4,0.1145
6/30/2017,1.8,0.1075
7/31/2017,5.8,0.133
8/31/2017,3.2,0.126
9/30/2017,4.6,0.125
10/31/2017,4.6,0.1215
11/30/2017,23.6,0.156
12/31/2017,4.6,0.0835
1/31/2018,46.8,0.143
2/28/2018,4.8,0.095
3/31/2018,2.8,0.088
4/30/2018,6.2,0.0985
5/31/2018,3,0.119
6/30/2018,5.2,0.135
7/31/2018,6,0.16
8/31/2018,3.6,0.1195
9/30/2018,4.35,0.125
10/31/2018,3.8,0.1245
11/30/2018,72.1,0.249
12/31/2018,6,0.11
